judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
Veronica G Hummel,Court of Claims Judge,SUP CT JUSTICE,2020-07-23,2028-05-29,Bronx,Bronx Supreme Civil,2020,,,,,,
Carolyn E Wade,,,2021-01-01,2023-12-31,Kings,Kings Supreme,2021,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
James A McCartyJr,,,,,Westchester,9th Judicial District,2018,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,9/SJ/SUPERIOR CIM CTS
Maureen Mchugh Heitner,Court of Claims Judge,SUP CT JUSTICE,2023-01-01,2031-12-31,Nassau,10th Judicial District - Nassau,2022,,,,,,
Donna M Siwek,Supreme Court Justice,,2015-01-01,2028-12-31,Erie,8th Judicial District,2001,,,,,,
Dweynie E Paul,Supreme Court Justice,,2023-01-01,2036-12-31,Kings,Kings Supreme,2023,,,,,,
Margaret A Chan,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2022-01-01,2026-12-31,New York,Appellate Division 1st Department,2022,,,,,,ADT/01/16
Judy H Kim,Supreme Court Justice,,2025-01-01,2039-12-31,New York,NYC Supreme Civil,2025,,,,,,
Sandra M Munoz,Supreme Court Justice,,2025-01-01,2026-12-31,Queens,Queens Supreme,2025,,,,,,
Gerard J Neri,Supreme Court Justice,,2019-01-01,2028-12-31,Onondaga,5th Judicial District,2019,,,,,,5/SJ/TOWN&VILLAGE
Cenceria P Edwards,Supreme Court Justice,,2023-01-01,2034-12-31,Kings,Kings Supreme,2023,,,,,,
Maria S VazquezDoles,Supreme Court Justice,"SUP CT JUS, DST 9 AT",2014-01-01,2027-12-31,Orange,9th Judicial District,2014,,,,,,ATM/02/0910/02
Thomas R Davis,Supreme Court Justice,,2022-01-01,2032-12-31,Dutchess,9th Judicial District,2022,,,,,,
Erika M Edwards,Supreme Court Justice,,2017-01-01,2030-12-31,New York,NYC Criminal Court,2017,,,,,,
Elizabeth S Fortino,Supreme Court Justice,,2026-01-01,2039-12-31,Onondaga,5th Judicial District,2026,,,,,,
Diane M Clerkin,Supreme Court Justice,,2026-01-01,2036-12-31,Westchester,9th Judicial District,2026,,,,,,
Amy N Quinn,Court of Claims Judge,,2024-06-06,2031-12-31,Essex,4th Judicial District,2024,,,,,,
Melissa A Crane,Supreme Court Justice,,2021-01-01,2034-12-31,New York,NYC Supreme Civil,2021,,,,,,
Terence P Murphy,,,2025-01-01,2025-12-31,Nassau,10th Judicial District - Nassau,2025,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,
Sharon MJ Gianelli,Supreme Court Justice,,2015-01-01,2028-12-31,Nassau,10th Judicial District - Nassau,2015,,,,,,
Maria G Rosa,Supreme Court Justice,,2013-01-01,2026-12-31,Dutchess,9th Judicial District,2013,,,,,,
Carl J Landicino,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2026-01-01,2035-12-31,Kings,Appellate Division 2nd Department,2012,,,,,,ADT/02/17
Maria Aragona,Supreme Court Justice,,2026-01-01,2039-12-31,Kings,Kings Supreme,2026,,,,,,
Laura A Ward,,,2024-06-06,2024-12-31,New York,NYC Supreme Criminal,2024,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
James H Ferreira,Court of Claims Judge,SUP CT JUSTICE,2025-06-10,2034-03-30,Albany,Court of Claims,2006,,,,,,
Ralph J Porzio,Supreme Court Justice,,2019-01-01,2028-12-31,Richmond,Richmond Supreme,2019,,,,,,
Sandra Perez,Supreme Court Justice,,2026-01-01,2036-12-31,Queens,Queens Supreme,2026,,,,,,
Ushir PanditDurant,Supreme Court Justice,,2019-01-01,2032-12-31,Queens,Queens Supreme,2019,,,,,,
Patria FriasColon,Supreme Court Justice,,2023-01-01,2036-12-31,Kings,Kings Supreme,2023,,,,,,
Molly R Fitzgerald,Supreme Court Justice,"ASC JUS, AP DIV",2022-01-01,2031-12-31,Broome,6th Judicial District,2008,,,,,,ADP/03/03
Donald A Greenwood,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2027-12-31,Onondaga,5th Judicial District,2004,,,,,,ADT/04/04
James F Matthews,,,,,Suffolk,10th Judicial District - Suffolk,2025,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,
Joseph E Lamendola,,,,,Onondaga,5th Judicial District,2020,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,
Christopher T McGrath,Supreme Court Justice,,2024-01-01,2028-12-31,Nassau,10th Judicial District - Nassau,2024,,,,,,
Lynn R Kotler,Supreme Court Justice,,2019-01-01,2031-12-31,New York,NYC Supreme Civil,2019,,,,,,
John R Higgitt,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2033-12-31,New York,Appellate Division 1st Department,2018,,,,,,ADT/01/10
Andrew A Crecca,Supreme Court Justice,ADMNV JGE,2025-01-01,2034-12-31,Suffolk,10th Judicial District - Suffolk,2011,,,,,,AJ/SF/SUP
Susan Quirk,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2023-01-01,2036-12-31,Kings,Appellate Division 2nd Department,2023,,,,,,ADT/02/19
Matthew P Raso,Supreme Court Justice,,2025-01-01,2038-12-31,Bronx,Bronx Supreme Civil,2025,,,,,,
Sharon A Graff,Supreme Court Justice,,2023-01-01,2036-12-31,Ulster,3rd Judicial District,2023,,,,,,
Claudia Daniels DePeyster,Supreme Court Justice,,2026-01-01,2033-12-31,Kings,Kings Supreme,2026,,,,,,
Gary F Miret,Supreme Court Justice,,2026-01-01,2031-12-31,Queens,Queens Supreme,2021,,,,,,
Eugene D Faughnan,Supreme Court Justice,ADMNV JGE,2014-01-01,2027-12-31,Broome,6th Judicial District,2014,,,,,,AJ/06/SUP
Gina C Capone,Supreme Court Justice,,2020-01-01,2033-12-31,Orange,9th Judicial District,2020,,,,,,
Kim M Parker,Court of Claims Judge,SUP CT JUSTICE,2023-06-09,2031-12-31,Bronx,Court of Claims,2023,,,,,,
Betsy Barros,Supreme Court Justice,"ASC JUS, AP DIV",2026-01-01,2039-12-31,Kings,Appellate Division 2nd Department,1998,,,,,,ADP/02/06
Marian R Tinari,,,,,Suffolk,10th Judicial District - Suffolk,2019,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Dineen A Riviezzo,Court of Claims Judge,SUP CT JUSTICE,2014-01-01,2022-12-31,Kings,Kings Supreme,2006,,,,,,
Noel Mendez,Court of Claims Judge,SUP CT JUSTICE,2025-06-11,2034-05-14,Albany,3rd Judicial District,2025,,,,,,
Lillian Wan,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2022-01-01,2035-12-31,Kings,Kings Supreme,2022,,,,,,ADT/02/12
Robert A McDonald,,,2016-01-01,2024-12-31,Nassau,10th Judicial District - Nassau,2016,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Erica L Prager,Supreme Court Justice,,2021-01-01,2033-12-31,Nassau,10th Judicial District - Nassau,2021,,,,,,
Paul MarroneJr,Supreme Court Justice,,2022-01-01,2035-12-31,Richmond,Richmond Supreme,2022,,,,,,
Jason L Cook,Supreme Court Justice,,2023-01-01,2036-12-31,Onondaga,7th Judicial District,2023,,,,,,7/SJ/TOWN&VILLAGE
Paul E Hennings,Supreme Court Justice,,2025-01-01,2030-12-31,Suffolk,10th Judicial District - Suffolk,2025,,,,,,
Doris M Gonzalez,Supreme Court Justice,,2017-01-01,2030-12-31,Westchester,9th Judicial District,2017,,,,,,
Raymond W Walter,Supreme Court Justice,,2022-01-01,2035-12-31,Erie,8th Judicial District,2022,,,,,,
James E WalshSr,Supreme Court Justice,,2020-01-01,2033-12-31,Saratoga,4th Judicial District,2020,,,,,,
Ingrid Joseph,Supreme Court Justice,,2019-01-01,2026-12-31,Kings,Kings Supreme,2019,,,,,,
Stephen K Lindley,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2021-01-01,2033-12-31,Monroe,Appellate Division 4th Department,2007,,,,,,ADT/04/05
Zainab Chaudhry,Court of Claims Judge,,2022-06-02,2027-06-30,Albany,Court of Claims,2022,,,,,,
Sherri J BrooksMorton,Supreme Court Justice,,2024-01-01,2037-12-31,Albany,3rd Judicial District,2024,,,,,,
Arlene P Bluth,Supreme Court Justice,,2016-01-01,2029-12-31,New York,NYC Supreme Civil,2016,,,,,,
Mary L Slisz,Supreme Court Justice,,2017-01-01,2028-12-31,Erie,8th Judicial District,2017,,,,,,8/SJ/MATRIMONIAL
Lourdes M Ventura,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2033-12-31,Queens,Appellate Division 2nd Department,2020,,,,,,ADT/02/08
Brian R Haak,Court of Claims Judge,,2024-04-01,2033-03-31,Saratoga,Court of Claims,2023,,,,,,
Walter Rivera,,,,,Westchester,9th Judicial District,2017,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,
Leonard Livote,,,2021-01-01,2023-12-31,Queens,Queens Supreme,2010,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
Daniel P Conviser,Court of Claims Judge,SUP CT JUSTICE,2014-08-01,2023-07-31,New York,NYC Supreme Criminal,2007,,,,,,
Saliann Scarpulla,Supreme Court Justice,"ASC JUS, AP DIV",2013-01-01,2026-12-31,New York,Appellate Division 1st Department,2013,,,,,,ADP/01/05
Mitchell J Danziger,Supreme Court Justice,,2016-01-01,2029-12-31,Bronx,Bronx Supreme Civil,2016,,,,,,
Walter B Debow,Court of Claims Judge,,2014-08-01,2023-07-31,Albany,Court of Claims,2006,,,,,,
Stanley L Pritzker,Supreme Court Justice,"ASC JUS, AP DIV",2014-01-01,2026-12-31,Washington,4th Judicial District,2014,,,,,,ADT/03/03
Maureen T Liccione,,"SUP CT JUS, DST 10 AT",,,Suffolk,10th Judicial District - Suffolk,2019,,,"SUP CT JUS, CERT AT",2024-01-01,2029-12-31,ATM/02/0910/04
Michael B Aloise,,,,,Queens,Queens Supreme,2004,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,
Anne J Swern,Supreme Court Justice,,2023-01-01,2026-12-31,Kings,Kings Supreme,2023,,,,,,
Andrea S Ogle,Supreme Court Justice,,2025-01-01,2027-12-31,Queens,Queens Supreme,2025,,,,,,
Laura G Douglas,Supreme Court Justice,,2014-01-01,2027-12-31,Bronx,Bronx Supreme Civil,2000,,,,,,
Ruth E Shillingford,Court of Claims Judge,,2023-08-01,2032-07-31,New York,Court of Claims,2023,,,,,,
Angela G Iannacci,Supreme Court Justice,"ASC JUS, AP DIV",2020-01-01,2030-12-31,Nassau,Appellate Division 2nd Department,2006,,,,,,ADP/02/04
Sharen D Hudson,Supreme Court Justice,,2025-01-01,2033-12-31,Kings,Kings Supreme,2025,,,,,,
Joseph C Lorigo,Supreme Court Justice,,2023-01-01,2036-12-31,Erie,8th Judicial District,2023,,,,,,
Elena F Cariola,Supreme Court Justice,,2022-01-01,2035-12-31,Monroe,7th Judicial District,2022,,,,,,
David S Zuckerman,Supreme Court Justice,,2023-01-01,2027-12-31,Westchester,9th Judicial District,2023,,,,,,
Larry J Schwartz,,,2024-01-01,2024-12-31,Rockland,9th Judicial District,2024,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Stephan Schick,,,,,Sullivan,3rd Judicial District,2013,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,
Thomas F Whelan,,,2015-01-01,2025-12-31,Suffolk,10th Judicial District - Suffolk,2001,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,SUF/SJ/SUPREME
Richard J Montelione,,,2022-01-01,2025-12-31,Kings,Kings Supreme,2022,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,
James P McCormack,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2016-01-01,2029-12-31,Nassau,Appellate Division 2nd Department,2016,,,,,,ADT/02/14
Stacey Romeo,Supreme Court Justice,,2025-01-01,2038-12-31,Monroe,7th Judicial District,2025,,,,,,7/SJ/FAMILY
Orlando MarrazzoJr,,,,,Richmond,Richmond Supreme,2020,,,"SUP CT JUS, CERT",2021-06-15,2026-12-31,
Gail Donofrio,,,,,Monroe,7th Judicial District,2013,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,
Leonard D Steinman,Supreme Court Justice,,2013-01-01,2026-12-31,Nassau,10th Judicial District - Nassau,2013,,,,,,
Jill R Epstein,Supreme Court Justice,,2026-01-01,2029-12-31,Kings,Kings Supreme,2026,,,,,,
Timothy Lewis,Court of Claims Judge,SUP CT JUSTICE,2023-01-01,2030-12-31,Bronx,Bronx Supreme Criminal,2022,,,,,,
Amy C Martoche,Supreme Court Justice,ADMNV JGE,2021-01-01,2034-12-31,Erie,8th Judicial District,2021,,,,,,AJ/08/SUP
Robert I Caloras,Supreme Court Justice,,2019-01-01,2029-12-31,Queens,Queens Supreme,2019,,,,,,
Mark G Masler,Supreme Court Justice,,2020-01-01,2030-12-31,Cortland,6th Judicial District,2020,,,,,,
Sallie Manzanet,Supreme Court Justice,"ASC JUS, AP DIV",2016-01-01,2029-12-31,New York,Appellate Division 1st Department,2002,,,,,,ADP/01/02
Victoria M Argento,Supreme Court Justice,,2019-01-01,2032-12-31,Monroe,7th Judicial District,2019,,,,,,
Phillip Hom,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2033-12-31,Queens,Appellate Division 2nd Department,2020,,,,,,ADT/02/18
Maurice E Muir,Supreme Court Justice,,2020-01-01,2033-12-31,Queens,Queens Supreme,2020,,,,,,
Victor G Grossman,,,,,Putnam,9th Judicial District,2014,,,"SUP CT JUS, CERT",2022-01-01,2027-12-31,9/SJ/MATRIMONIAL
Gregory Carro,Court of Claims Judge,SUP CT JUSTICE,2014-01-01,2022-12-31,New York,NYC Supreme Criminal,2002,,,,,,
Catherine E LeahyScott,Court of Claims Judge,,2019-06-20,2019-12-01,Albany,Court of Claims,2019,,,,,,
John J Kelley,Supreme Court Justice,,2022-01-01,2032-12-31,New York,NYC Supreme Criminal,2022,,,,,,
Kathy J King,Supreme Court Justice,,2015-01-01,2027-12-31,New York,NYC Supreme Civil,2015,,,,,,
Deborah A Haendiges,Supreme Court Justice,,2020-01-01,2027-12-31,Erie,8th Judicial District,2006,,,,,,
Thomas Quinones,Supreme Court Justice,,2022-01-01,2030-12-31,Westchester,9th Judicial District,2022,,,,,,
Sharon AM Aarons,Supreme Court Justice,"ASC JUS, AP DIV",2024-01-01,2034-12-31,Bronx,Appellate Division 3rd Department,2010,,,,,,ADP/03/04
John HowardAlgarin,Supreme Court Justice,,2024-01-01,2034-12-31,Bronx,Bronx Supreme Criminal,2024,,,,,,
Mary M Farley,Supreme Court Justice,,2016-01-01,2029-12-31,St. Lawrence,4th Judicial District,2016,,,,,,4/SJ/SUPREME
Judith A Sinclair,Supreme Court Justice,,2016-01-01,2029-12-31,Monroe,7th Judicial District,2016,,,,,,
Monica P Wallace,Court of Claims Judge,,2025-06-25,2033-07-11,Erie,Court of Claims,2025,,,,,,
Rachel Freier,Supreme Court Justice,,2024-01-01,2035-12-31,Kings,Kings Supreme,2024,,,,,,
Hector D LaSalle,Supreme Court Justice,"PRES JUS, AP DIV",2023-01-01,2036-12-31,Suffolk,Appellate Division 2nd Department,2009,,,,,,ADP/02/01
Nicole A McGregorMundy,Court of Claims Judge,SUP CT JUSTICE,2023-06-09,2031-12-31,Queens,Queens Supreme,2023,,,,,,
Cheryl J Gonzales,,,2023-01-01,2024-12-31,Kings,Kings Supreme,2023,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Nancy M Bannon,Supreme Court Justice,,2018-01-01,2028-12-31,New York,NYC Supreme Civil,2018,,,,,,
Charles D Wood,Supreme Court Justice,,2024-01-01,2037-12-31,Westchester,9th Judicial District,2010,,,,,,
Robert S Ondrovic,Supreme Court Justice,,2021-01-01,2030-12-31,Westchester,9th Judicial District,2021,,,,,,
Philippe SolagesJr,Court of Claims Judge,SUP CT JUSTICE,2021-06-08,2028-04-28,Nassau,10th Judicial District - Nassau,2021,,,,,,
David Gandin,Supreme Court Justice,,2022-01-01,2035-12-31,Ulster,3rd Judicial District,2022,,,,,,
Bahaati ET Pitt,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2033-12-31,New York,Appellate Division 1st Department,2020,,,,,,ADT/01/09
Denise L Sher,,,2024-06-06,2024-12-31,Nassau,10th Judicial District - Nassau,2006,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Gary F Knobel,,,2021-01-01,2023-12-31,Nassau,10th Judicial District - Nassau,2021,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
Joseph H Lorintz,Supreme Court Justice,,2017-01-01,2028-12-31,Nassau,10th Judicial District - Nassau,2017,,,,,,
Ellen M Spodek,Supreme Court Justice,,2023-01-01,2027-12-31,Kings,Kings Supreme,2008,,,,,,
Erin N Guven,Court of Claims Judge,,2025-06-10,2034-05-14,Bronx,Bronx Supreme Civil,2025,,,,,,
Carolyn WalkerDiallo,Supreme Court Justice,,2022-01-01,2035-12-31,Kings,Kings Supreme,2022,,,,,,
George R Villegas,,,2022-01-01,2023-12-31,Bronx,Bronx Supreme Criminal,2008,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
Richard Velasquez,Supreme Court Justice,,2023-01-01,2034-12-31,Kings,Kings Supreme,2009,,,,,,
John P Collins,Supreme Court Justice,,2026-01-01,2039-12-31,Rockland,9th Judicial District,2026,,,,,,
Caroline H Piela,Supreme Court Justice,,2024-01-01,2037-12-31,Kings,Kings Supreme,2024,,,,,,
Carmen Victoria StGeorge,Court of Claims Judge,SUP CT JUSTICE,2017-07-06,2023-07-31,Suffolk,Court of Claims,2017,,,,,,
Ilene Fern,Court of Claims Judge,,2025-06-10,2027-08-26,Queens,Queens Supreme,2025,,,,,,
James P Murphy,Supreme Court Justice,DEP CHF ADMNV JGE CTS,2019-01-01,2028-12-31,Onondaga,5th Judicial District,2005,,,,,,DCAJ/OUTSIDENYC
Rebecca A Slezak,Supreme Court Justice,,2020-01-01,2033-12-31,Montgomery,4th Judicial District,2020,,,,,,
Timothy S Driscoll,Supreme Court Justice,"SUP CT JUS, DST 10 PJAT",2022-01-01,2035-12-31,Nassau,10th Judicial District - Nassau,2008,,,,,,ATM/02/0910/01
James W Malone,Supreme Court Justice,,2026-01-01,2031-12-31,Suffolk,10th Judicial District - Suffolk,2026,,,,,,
Krishna K Singh,Supreme Court Justice,ADMNV JGE,2026-01-01,2039-12-31,Fulton,4th Judicial District,2026,,,,,,AJ/04/SUP
John T Ellis,Supreme Court Justice,,2013-01-01,2026-12-31,Franklin,4th Judicial District,2013,,,,,,
Anna Culley,Supreme Court Justice,,2015-01-01,2028-12-31,Queens,Queens Supreme,2015,,,,,,
Naita A Semaj,Supreme Court Justice,,2022-01-01,2035-12-31,Bronx,Bronx Supreme Civil,2022,,,,,,
Rachel Amy Adams,,,,,Kings,Kings Supreme,2012,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,
Joseph J Risi,Court of Claims Judge,,2019-05-07,2026-12-31,Queens,Queens Supreme,2017,,,,,,
Aaron D Maslow,Supreme Court Justice,,2023-01-01,2026-12-31,Richmond,Kings Supreme,2023,,,,,,
Richard E Sise,Court of Claims Judge,"PRES JGE, CT CLAIMS",2022-01-23,2026-12-31,Albany,Court of Claims,2000,,,,,,PJ/COC
Charles M Troia,Court of Claims Judge,SUP CT JUSTICE,2020-07-23,2022-12-31,Richmond,Richmond Supreme,2020,,,,,,
John M Curran,Supreme Court Justice,"ASC JUS, AP DIV",2019-01-01,2029-12-31,Erie,Appellate Division 4th Department,2004,,,,,,ADP/04/03
Dianne N Freestone,Supreme Court Justice,,2020-01-01,2030-12-31,Saratoga,4th Judicial District,2020,,,,,,
Laurence L Love,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,Queens,Appellate Division 2nd Department,2019,,,,,,ADT/02/07
Helen Voutsinas,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,Nassau,10th Judicial District - Nassau,2019,,,,,,ADT/02/02
James E d'Auguste,Supreme Court Justice,,2017-01-01,2030-12-31,New York,NYC Supreme Civil,2017,,,,,,
Mojgan Cohanim Lancman,Supreme Court Justice,,2021-01-01,2034-12-31,Queens,Queens Supreme,2021,,,,,,
Joel M Cohen,Court of Claims Judge,SUP CT JUSTICE,2018-07-02,2026-06-30,New York,NYC Supreme Civil,2018,,,,,,
Genine D Edwards,Supreme Court Justice,ADMNV JGE,2016-01-01,2029-12-31,Kings,Kings Supreme,2016,,,,,,AJ/KG/SUP/CV
Cheryl A Joseph,Court of Claims Judge,SUP CT JUSTICE,2025-06-10,2031-12-31,Suffolk,10th Judicial District - Suffolk,2015,,,,,,SUFF/SJ/MATRIMONIAL
Christina L Ryba,Supreme Court Justice,ADMNV JGE,2016-01-01,2029-12-31,Albany,3rd Judicial District,2016,,,,,,AJ/03/SUP
Troy K Webber,Supreme Court Justice,"ASC JUS, AP DIV",2017-01-01,2028-12-31,New York,Appellate Division 1st Department,2003,,,,,,ADP/01/03
Paul M Hensley,Supreme Court Justice,,2025-01-01,2031-12-31,Suffolk,10th Judicial District - Suffolk,2025,,,,,,
Mary L NicolasBrewster,Court of Claims Judge,SUP CT JUSTICE,2025-06-10,2031-12-31,Bronx,Bronx Supreme Civil,2025,,,,,,
Denis M Reo,Court of Claims Judge,,2025-06-10,2034-05-14,,NYC Supreme Civil,2025,,,,,,
Natacha CarbajalEvangelista,Court of Claims Judge,,2025-06-10,2028-12-31,Westchester,Court of Claims,2025,,,,,,
Richard M Platkin,Court of Claims Judge,SUP CT JUSTICE,2014-08-01,2023-07-31,Albany,Court of Claims,2006,,,,,,
Edward Pace,,,,,Erie,8th Judicial District,2022,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,
Christopher P Baker,Supreme Court Justice,,2020-01-01,2033-12-31,Chemung,6th Judicial District,2020,,,,,,6/SJ/SUPREME
George M Nolan,Supreme Court Justice,,2019-01-01,2028-12-31,Suffolk,10th Judicial District - Suffolk,2019,,,,,,
Andrew S Borrok,Supreme Court Justice,,2018-01-01,2031-12-31,New York,NYC Supreme Civil,2018,,,,,,
Joanne D Quinones,Supreme Court Justice,"SUP CT JUS, DST 2 AT",2024-01-01,2037-12-31,Kings,Kings Supreme,2022,,,,,,ATM/02/0211/02
Julie G Denton,Supreme Court Justice,,2023-01-01,2036-12-31,Oneida,5th Judicial District,2023,,,,,,5/SJ/FORECLOSURES
Stacy D FleisherBennett,Supreme Court Justice,,2023-01-01,2036-12-31,Nassau,10th Judicial District - Nassau,2023,,,,,,
William F Ramseier,Supreme Court Justice,,2023-01-01,2036-12-31,Jefferson,5th Judicial District,2023,,,,,,
Shlomo S Hagler,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2013-01-01,2026-12-31,New York,Appellate Division 1st Department,2013,,,,,,ADT/01/04
Myrna M Socorro,Supreme Court Justice,,2023-01-01,2033-12-31,Bronx,Bronx Supreme Civil,2023,,,,,,
Bernadette T Clark,,,2020-01-01,2023-12-31,Oneida,5th Judicial District,2006,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
Michael R Cuevas,,,2020-01-01,2023-12-31,Schenectady,4th Judicial District,2020,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
Alfred C Graf,Supreme Court Justice,,2025-01-01,2028-12-31,Suffolk,10th Judicial District - Suffolk,2025,,,,,,
Jenny Rivera,Associate Judge COA,,2013-02-11,2027-02-10,New York,Court of Appeals,2013,,,,,,
Paul L Alpert,Supreme Court Justice,"SUP CT JUS, DST 12 AT",2022-01-01,2033-12-31,Bronx,Bronx Supreme Civil,2022,,,,,,ATM/01/0112/03
Gretchen Walsh,Supreme Court Justice,"SUP CT JUS, DST 9 AT",2016-01-01,2029-12-31,Westchester,9th Judicial District,2016,,,,,,ATM/02/0910/05
Gregg Roth,Supreme Court Justice,,2025-01-01,2037-12-31,Nassau,10th Judicial District - Nassau,2025,,,,,,
Colleen D Duffy,Supreme Court Justice,"ASC JUS, AP DIV",2025-01-01,2030-12-31,Westchester,Appellate Division 2nd Department,2010,,,,,,ADP/02/02
Nestor Diaz,Supreme Court Justice,,2023-01-01,2033-12-31,Queens,Queens Supreme,2023,,,,,,
William A Viscovich,Supreme Court Justice,,2017-01-01,2030-12-31,Queens,Queens Supreme,2017,,,,,,
Kevin R Bryant,Supreme Court Justice,,2022-01-01,2035-12-31,Ulster,3rd Judicial District,2022,,,,,,
Derefim B Neckles,Supreme Court Justice,,2026-01-01,2033-12-31,Kings,Kings Supreme,2026,,,,,,
Raymond P Fernandez,Court of Claims Judge,SUP CT JUSTICE,2023-06-09,2026-06-30,Bronx,Bronx Supreme Criminal,2023,,,,,,
Ira H Margulis,,,,,Queens,Queens Supreme,2012,,,"SUP CT JUS, CERT",2021-06-15,2026-12-31,
Benjamin R Barbato,,,,,Bronx,Bronx Supreme Civil,2019,,,"SUP CT JUS, CERT",2021-06-15,2026-12-31,
Robin K Sheares,Supreme Court Justice,,2023-01-01,2031-12-31,Kings,Kings Supreme,2023,,,,,,
Rolf M Thorsen,Supreme Court Justice,,2024-01-01,2031-12-31,Rockland,9th Judicial District,2024,,,,,,
Robert A Schwartz,Court of Claims Judge,SUP CT JUSTICE,2018-08-27,2027-08-26,Nassau,10th Judicial District - Nassau,2015,,,,,,
Carolyn M Genovesi,Court of Claims Judge,,2024-06-06,2031-12-31,Kings,Kings Supreme,2024,,,,,,
